zeit,station,gemessen_kn,grad,arome_kn
2026-08-24T13:00+02:00,Cullera San Antonio,2,282,7.8
2026-08-24T13:40+02:00,Cullera Faro,3,103,6.9
2026-08-24T13:45+02:00,Cullera San Antonio,5,132,6.9
2026-08-24T15:00+02:00,Cullera Faro,9,112,8.6
2026-08-24T15:00+02:00,Cullera San Antonio,5,121,8.6
2026-08-24T16:00+02:00,Cullera Faro,10,96,11.1
2026-08-24T16:01+02:00,Cullera San Antonio,3,149,11.1
2026-08-24T17:00+02:00,Cullera Faro,7,126,11.4
2026-08-24T17:05+02:00,Cullera San Antonio,3,63,11.4
2026-08-24T18:00+02:00,Cullera Faro,4,117,11.9
2026-08-24T18:00+02:00,Cullera San Antonio,3,150,11.9
2026-08-24T19:00+02:00,Cullera Faro,0,92,3.3
2026-08-24T19:00+02:00,Cullera San Antonio,3,138,3.3
2026-08-24T20:40+02:00,Cullera Faro,5,251,5.5
2026-08-24T20:50+02:00,Cullera San Antonio,3,266,5.5
2026-08-24T21:30+02:00,Cullera Faro,5,263,8.7
2026-08-24T21:30+02:00,Cullera San Antonio,4,294,8.7
2026-08-25T07:30+02:00,Cullera Faro,10,247,8.0
2026-08-25T07:30+02:00,Cullera San Antonio,6,267,8.0
2026-08-25T08:40+02:00,Cullera Faro,10,236,9.1
2026-08-25T08:45+02:00,Cullera San Antonio,2,271,9.1
2026-08-25T09:30+02:00,Cullera Faro,18,246,9.0
2026-08-25T10:40+02:00,Cullera Faro,5,244,8.3
2026-08-25T10:45+02:00,Cullera San Antonio,4,312,8.3
2026-08-25T11:30+02:00,Cullera Faro,13,274,7.8
2026-08-25T11:35+02:00,Cullera San Antonio,5,272,7.8
2026-08-25T12:30+02:00,Cullera Faro,5,293,6.8
2026-08-25T13:30+02:00,Cullera San Antonio,4,292,4.2
2026-08-25T14:40+02:00,Cullera Faro,6,109,6.5
2026-08-25T14:50+02:00,Cullera San Antonio,2,180,6.5
2026-08-25T15:40+02:00,Cullera Faro,3,215,7.8
2026-08-25T15:50+02:00,Cullera San Antonio,5,140,7.8
2026-08-25T16:40+02:00,Cullera Faro,4,192,11.8
2026-08-25T16:50+02:00,Cullera San Antonio,4,110,11.8
2026-08-25T17:40+02:00,Cullera Faro,4,101,14.0
2026-08-25T17:45+02:00,Cullera San Antonio,4,114,14.0
2026-08-25T18:30+02:00,Cullera Faro,5,119,15.9
2026-08-25T18:40+02:00,Cullera San Antonio,4,229,15.9
2026-08-25T19:30+02:00,Cullera Faro,6,47,16.4
2026-08-25T19:30+02:00,Cullera San Antonio,3,129,16.4
2026-08-25T20:30+02:00,Cullera Faro,5,329,14.3
2026-08-25T20:40+02:00,Cullera San Antonio,2,229,14.3
2026-08-25T21:30+02:00,Cullera Faro,4,105,12.6
2026-08-25T21:30+02:00,Cullera San Antonio,4,151,12.6
2026-08-26T07:30+02:00,Cullera Faro,11,278,5.1
2026-08-26T07:35+02:00,Cullera San Antonio,7,360,5.1
2026-08-26T08:40+02:00,Cullera Faro,10,115,4.2
2026-08-26T08:55+02:00,Cullera San Antonio,4,181,4.2
2026-08-26T09:40+02:00,Cullera Faro,10,288,4.7
2026-08-26T09:50+02:00,Cullera San Antonio,5,315,4.7
2026-08-26T10:40+02:00,Cullera Faro,10,261,5.5
2026-08-26T10:45+02:00,Cullera San Antonio,5,270,5.5
2026-08-26T11:40+02:00,Cullera Faro,9,240,4.5
2026-08-26T11:45+02:00,Cullera San Antonio,4,266,4.5
2026-08-26T12:30+02:00,Cullera Faro,6,355,0.3
2026-08-26T12:35+02:00,Cullera San Antonio,2,83,0.3
2026-08-26T13:30+02:00,Cullera Faro,0,101,6.1
2026-08-26T13:30+02:00,Cullera San Antonio,4,91,6.1
2026-08-26T15:00+02:00,Cullera Faro,3,94,9.2
2026-08-26T15:00+02:00,Cullera San Antonio,6,134,9.2
2026-08-26T16:10+02:00,Cullera Faro,9,116,12.0
2026-08-26T16:15+02:00,Cullera San Antonio,5,169,12.0
2026-08-26T17:40+02:00,Cullera Faro,10,148,13.7
2026-08-26T17:55+02:00,Cullera San Antonio,4,147,13.7
2026-08-26T20:10+02:00,Cullera Faro,1,101,13.0
2026-08-26T20:15+02:00,Cullera San Antonio,2,94,13.0
2026-08-26T22:30+02:00,Cullera Faro,10,270,7.9
2026-08-26T22:35+02:00,Cullera San Antonio,5,327,7.9
2026-08-27T18:10+02:00,Cullera Faro,9,117,13.7
2026-08-27T18:11+02:00,Cullera San Antonio,3,163,13.7
2026-08-28T03:00+02:00,Cullera Faro,16,287,9.5
2026-08-28T02:55+02:00,Cullera San Antonio,6,283,9.5
2026-08-28T19:00+02:00,Cullera Faro,2,169,10.1
2026-08-28T19:10+02:00,Cullera San Antonio,1,110,10.1
2026-08-29T03:00+02:00,Cullera Faro,10,268,6.3
2026-08-29T03:00+02:00,Cullera San Antonio,3,270,6.3
2026-08-29T13:10+02:00,Cullera Faro,0,57,4.9
2026-08-29T13:25+02:00,Cullera San Antonio,5,93,4.9
2026-08-29T18:30+02:00,Cullera Faro,3,324,7.8
2026-08-29T18:30+02:00,Cullera San Antonio,2,326,7.8
2026-08-29T21:30+02:00,Cullera Faro,1,109,7.3
2026-08-29T21:35+02:00,Cullera San Antonio,5,82,7.3
2026-08-30T12:10+02:00,Cullera Faro,1,117,5.8
2026-08-30T12:20+02:00,Cullera San Antonio,5,109,5.8
2026-08-30T16:50+02:00,Cullera Faro,7,119,12.0
2026-08-30T16:50+02:00,Cullera San Antonio,5,134,12.0
2026-08-30T20:10+02:00,Cullera Faro,10,155,9.1
2026-08-30T20:25+02:00,Cullera San Antonio,3,111,9.1
2026-08-30T23:50+02:00,Cullera Faro,12,273,7.4
2026-08-30T23:45+02:00,Cullera San Antonio,5,360,7.4
2026-08-31T13:10+02:00,Cullera Faro,8,308,6.0
2026-08-31T13:20+02:00,Cullera San Antonio,2,51,6.0
2026-08-31T20:00+02:00,Cullera Faro,3,113,9.3
2026-08-31T20:00+02:00,Cullera San Antonio,3,96,9.3
2026-09-01T00:40+02:00,Cullera Faro,8,68,5.9
2026-09-01T00:50+02:00,Cullera San Antonio,3,88,5.9
2026-09-01T11:40+02:00,Cullera Faro,2,140,1.8
2026-09-01T11:45+02:00,Cullera San Antonio,3,202,1.8
2026-09-01T16:30+02:00,Cullera Faro,1,170,6.1
2026-09-01T16:35+02:00,Cullera San Antonio,2,134,6.1
2026-09-01T20:00+02:00,Cullera Faro,1,120,4.6
2026-09-01T20:10+02:00,Cullera San Antonio,1,161,4.6
2026-09-01T23:00+02:00,Cullera Faro,0,155,3.9
2026-09-01T23:10+02:00,Cullera San Antonio,0,134,3.9
2026-09-02T11:10+02:00,Cullera Faro,5,92,2.8
2026-09-02T11:20+02:00,Cullera San Antonio,3,150,2.8
2026-09-02T15:30+02:00,Cullera Faro,4,84,5.9
2026-09-02T15:40+02:00,Cullera San Antonio,7,92,5.9
2026-09-02T19:30+02:00,Cullera Faro,3,142,6.8
2026-09-02T19:40+02:00,Cullera San Antonio,5,85,6.8
2026-09-02T22:50+02:00,Cullera Faro,0,71,4.9
2026-09-02T22:45+02:00,Cullera San Antonio,2,101,4.9
2026-09-03T11:20+02:00,Cullera Faro,4,76,2.3
2026-09-03T11:25+02:00,Cullera San Antonio,3,177,2.3
2026-09-03T16:00+02:00,Cullera Faro,9,123,6.0
2026-09-03T16:10+02:00,Cullera San Antonio,3,173,6.0
2026-09-03T19:50+02:00,Cullera Faro,3,155,9.1
2026-09-03T19:55+02:00,Cullera San Antonio,8,86,9.1
2026-09-03T22:40+02:00,Cullera Faro,0,74,5.2
2026-09-03T22:50+02:00,Cullera San Antonio,1,92,5.2
2026-09-04T11:20+02:00,Cullera Faro,1,141,3.7
2026-09-04T11:20+02:00,Cullera San Antonio,3,196,3.7
2026-09-04T15:30+02:00,Cullera Faro,2,199,5.2
2026-09-04T15:35+02:00,Cullera San Antonio,5,80,5.2
2026-09-04T19:10+02:00,Cullera Faro,5,320,2.7
2026-09-04T19:25+02:00,Cullera San Antonio,3,168,2.7
2026-09-04T22:30+02:00,Cullera Faro,8,273,4.8
2026-09-04T22:30+02:00,Cullera San Antonio,1,225,4.8
2026-09-05T10:40+02:00,Cullera Faro,7,267,1.1
2026-09-05T10:50+02:00,Cullera San Antonio,3,111,1.1
2026-09-05T14:10+02:00,Cullera Faro,2,360,7.1
2026-09-05T14:25+02:00,Cullera San Antonio,3,132,7.1
2026-09-05T17:40+02:00,Cullera Faro,5,360,8.8
2026-09-05T17:45+02:00,Cullera San Antonio,5,142,8.8
2026-09-05T19:40+02:00,Cullera Faro,3,146,9.3
2026-09-05T19:55+02:00,Cullera San Antonio,2,128,9.3
2026-09-05T22:30+02:00,Cullera Faro,3,253,2.1
2026-09-05T22:30+02:00,Cullera San Antonio,1,298,2.1
